Duration (in seconds),Participation,Q1,Q2,Q3,Q4,Q5,I6,I7,I8,I9,I10,I11,I12,U6,U7,U8,U9,U10,U11,U12
387,Yes,Male,High School,Caucasian or White,Did not vote,5.1,,,,,,,,7,4,4.6,1.6,2.8,2,4
299,Yes,Male,Some College,Caucasian or White,Donald Trump,5.1,,,,,,,,5,4.2,4.7,1,1,1,4.3
140,Yes,Female,Some College,Caucasian or White,Did not vote,5.8,,,,,,,,4.1,3.5,3.5,2.6,3.5,6.8,4.8
97,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5,2.1,1.7,4.3,2.5,3.2,1.7,4,,,,,,,
199,Yes,Female,High School,Caucasian or White,Hillary Clinton,5.1,,,,,,,,1,1,1,2.2,2.1,2.1,5.6
175,Yes,Female,High School,Caucasian or White,Did not vote,5.1,7,1,3.1,2.9,4,1.8,4,,,,,,,
211,Yes,Female,Some College,Hispanic or Latino,Other,7,,,,,,,,1.1,1.1,1.3,5.8,5.3,2.7,7
232,Yes,Female,Doctoral Degree or Equivalent,Asian,Did not vote,7,,,,,,,,1,1,3.3,1.1,2.7,1.2,4
608,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,3,2.4,2.9,2.7,2.2,5.3,3.5,,,,,,,
322,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.4,,,,,,,,1,1,1,4.4,7,3.8,7
187,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,7,7,4,5,1,1,1,4,,,,,,,
431,Yes,Male,High School,African American or Black,Did not vote,4.1,3.8,3.2,3.3,3.8,4.1,4.2,4.2,,,,,,,
158,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,3.5,,,,,,,,1,1,1.5,5.5,3.8,4,4
235,Yes,Male,High School,Caucasian or White,Did not vote,5.5,6,4,6,1.3,1.1,1.3,3,,,,,,,
295,Yes,Female,High School,Caucasian or White,Donald Trump,4.6,,,,,,,,5,4.4,4.8,3.9,3.8,4.7,3.4
326,Yes,Male,Bachelor's Degree,Asian,Hillary Clinton,5,4.7,1.1,5.1,3.6,1.5,1.2,4.2,,,,,,,
122,Yes,Female,Master's Degree,Caucasian or White,Donald Trump,5,4.6,4,5,2,2,2,4,,,,,,,
175,Yes,Female,Master's Degree,Caucasian or White,Donald Trump,6.1,,,,,,,,7,4.5,7,1,1.1,1,5.2
136,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,6.5,,,,,,,,7,7,6.5,1,1,1,1.5
445,Yes,Male,Some College,Caucasian or White,Donald Trump,7,,,,,,,,7,7,7,1.1,1.1,1,4.1
111,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,7,,,,,,,,5.4,6.2,5,4.7,3.8,6,5.3
186,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,5,1.4,1.2,2.2,4.5,3.9,3,4,,,,,,,
692,Yes,Male,Bachelor's Degree,Asian,Donald Trump,4,3.5,1.5,5.5,2,2,1.5,4,,,,,,,
142,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,4.3,4.8,4.1,4.4,5.8,5.1,4.6,5.4,,,,,,,
411,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,6.5,6.7,6.2,5.7,6.4,5.9,6.1,6.1,,,,,,,
214,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,7,4,7,1,1,1,4,,,,,,,
146,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,5.5,,,,,,,,3,1,7,3,3,1,5
192,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,5,,,,,,,,1.1,6.9,1.1,3.9,1.1,2.6,6.5
208,Yes,Female,Master's Degree,Caucasian or White,Did not vote,5.5,,,,,,,,1,1,1,6,4,4,6
166,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,5.7,,,,,,,,5.5,5.1,6.1,5.4,5,5.5,5.7
227,Yes,Female,Master's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,1,1,1,7,7,6,7
174,Yes,Male,Doctoral Degree or Equivalent,Caucasian or White,Hillary Clinton,6,,,,,,,,1,1,1,6,4,2,4.1
554,Yes,Female,High School,Caucasian or White,Hillary Clinton,3.9,,,,,,,,6.2,4.6,4.8,5.6,5.4,4,5.2
160,Yes,Male,Some College,Hispanic or Latino,Hillary Clinton,7,1,1,1,3.8,3.8,1,4,,,,,,,
154,Yes,Male,Some College,Caucasian or White,Donald Trump,6.8,,,,,,,,6.3,6.5,5.3,7,1.2,1.1,4.9
276,Yes,Male,High School,Caucasian or White,Did not vote,3,,,,,,,,1.1,1.1,1.9,2.9,6.2,1.6,5.1
283,Yes,Male,Some College,Caucasian or White,Hillary Clinton,4,1,1,2,5,4,2,4,,,,,,,
177,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,,,,,,,,6,5,6,1.9,1.2,1.2,4
169,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,6,,,,,,,,1,1,1,6,6,1,6.5
254,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,1,1.1,4,4.1,6,1.1,4
94,Yes,Female,Some College,Caucasian or White,Hillary Clinton,5.5,,,,,,,,1,1,2,5,4.9,5.4,5.8
156,Yes,Female,Some College,Caucasian or White,Donald Trump,6.8,5,6.1,7,1,1,1,4,,,,,,,
158,Yes,Female,Some College,Caucasian or White,Hillary Clinton,6.9,1,1,1,6.8,7,1,6.4,,,,,,,
263,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,4.8,,,,,,,,1.9,1.9,4.9,3.8,2.7,1.9,4
159,Yes,Male,Bachelor's Degree,Hispanic or Latino,Hillary Clinton,3.5,3.2,3.2,2,6,5,2,4,,,,,,,
162,Yes,Male,Bachelor's Degree,Caucasian or White,Other,5.5,3.5,3,6,1.5,1,1,5,,,,,,,
120,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,6.8,,,,,,,,5.1,4.7,6.2,6,5.9,5.5,5.8
248,Yes,Female,Doctoral Degree or Equivalent,Caucasian or White,Hillary Clinton,4,,,,,,,,1,1,1.9,3,2.9,2.9,7
170,Yes,Male,Doctoral Degree or Equivalent,Native American or American Indian,Donald Trump,5.1,,,,,,,,3.5,4.5,5.1,5.2,5.2,4.4,4
142,Yes,Female,Bachelor's Degree,Caucasian or White,Did not vote,7,,,,,,,,4.9,1.1,7,1.1,1.1,1.1,1.1
164,Yes,Female,Some College,Caucasian or White,Hillary Clinton,4,1,1,1,3,6,3,4,,,,,,,
421,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,4.7,,,,,,,,4.4,3.4,3.3,3,3.2,2.4,3.8
162,Yes,Male,Bachelor's Degree,Asian,Donald Trump,5.7,,,,,,,,5.3,5.2,4.5,4.4,4,5.1,5.4
174,Yes,Male,Bachelor's Degree,Caucasian or White,Did not vote,4.5,2.6,2.2,4.5,1.1,1.3,1,4,,,,,,,
220,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,,,,,,,,1,1,1,7,7,7,4
258,Yes,Female,Some College,Caucasian or White,Donald Trump,4.1,1,1,3.6,1,1,1,1,,,,,,,
